"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","gene_symbols"
"R-MMU-5576891","Cardiac conduction","30/1104","98/8731",0.306122448979592,2.42097382431233,5.38186786276208,2.060696984981e-06,0.000171412521932511,0.00015657353168181,"108017/53419/98660/27222/12372/56808/76757/54377/12295/74571/12322/230103/18125/20928/20190/11937/320707/72258/56188/57780/223604/18821/232975/16493/104158/20192/54378/110893/66240/16514",30,"Fxyd4,Corin,Atp1a2,Atp1a4,Casq1,Cacna2d2,Trdn,Cacng4,Cacnb1,Kcnk16,Camk2a,Npr2,Nos1,Abcc9,Ryr1,Atp2a1,Atp2b3,Kcnk10,Fxyd1,Fxyd7,Kcnk9,Pln,Atp1a3,Kcna5,Ces1d,Ryr3,Cacng6,Slc8a3,Kcne5,Kcnj11"
"R-MMU-202433","Generation of second messenger molecules","11/1104","19/8731",0.578947368421053,4.57861365369947,5.94083467911898,3.6113389149343e-06,0.00027536459226374,0.000251526587584021,"16818/12502/16822/16428/23880/12504/22637/16797/12501/12500/630146",11,"Lck,Cd3g,Lcp2,Itk,Fyb1,Cd4,Zap70,Lat,Cd3e,Cd3d,Cd101"
"R-MMU-6809371","Formation of the cornified envelope","26/1104","85/8731",0.305882352941176,2.41907502131287,5.0017500855742,9.9323637182257e-06,0.000678202802956765,0.000619491545064908,"12365/16669/16673/20862/109052/13506/70166/16667/386463/20129/16663/16680/69511/317653/16664/16670/16678/99681/16666/626834/16665/16687/268885/259277/406223/77055",26,"Casp14,Krt19,Krt36,Stfa2,Krt75,Dsc2,Lipn,Krt17,Cdsn,Rptn,Krt13,Krt84,Klk12,Klk14,Krt14,Krt32,Krt1,Tchh,Krt16,Klk13,Krt15,Krt6a,Stfa2l1,Klk8,Gm5414,Krt76"
"R-MMU-1236974","ER-Phagosome pathway","18/1104","48/8731",0.375,2.96569293478261,5.19536638692149,1.03768734878631e-05,0.000678202802956765,0.000619491545064908,"14991/21356/16913/21355/19171/15015/21354/15039/15018/12010/14972/15040/15007/110557/621823/15006/15013/16912",18,"H2-M3,Tapbp,Psmb8,Tap2,Psmb10,H2-Q4,Tap1,H2-T22,H2-Q7,B2m,H2-K1,H2-T23,H2-Q10,H2-Q6,Psme2b,H2-Q1,H2-Q2,Psmb9"
"R-MMU-1236975","Antigen processing-Cross presentation","25/1104","81/8731",0.308641975308642,2.4408995348005,4.95658938205908,1.23125188837142e-05,0.000710186097783491,0.000648706081840773,"13057/13058/14129/17969/14991/21356/16913/21355/17970/17533/19171/15015/21354/15039/15018/12010/14972/15040/15007/17972/110557/621823/15006/15013/16912",25,"Cyba,Cybb,Fcgr1,Ncf1,H2-M3,Tapbp,Psmb8,Tap2,Ncf2,Mrc1,Psmb10,H2-Q4,Tap1,H2-T22,H2-Q7,B2m,H2-K1,H2-T23,H2-Q10,Ncf4,H2-Q6,Psme2b,H2-Q1,H2-Q2,Psmb9"
"R-MMU-1280215","Cytokine Signaling in Immune system","89/1104","456/8731",0.195175438596491,1.5435477847699,4.53576907420142,1.24185547153397e-05,0.000710186097783491,0.000648706081840773,"16818/16189/67951/16391/13608/15162/16160/16192/50930/57916/329244/16153/21939/16187/12981/67603/16163/14281/20963/21943/20491/12504/17858/20112/19106/53603/16994/21926/12322/77125/16193/12362/16174/16182/93672/22164/16184/56791/16176/16175/77799/99899/21938/21941/21942/24110/21940/60504/16190/21947/16165/16186/16154/74153/14087/20203/22324/100038882/12703/12985/15061/18707/230073/231655/17096/246779/215274/12702/15978/16367/18413/330496/338374/22152/20849/24014/112419/72049/16185/360198/319150/319148/16068/12983/12984/434341/97908/319152/319153",89,"Lck,Il4,Tubb6,Irf9,Edar,Hck,Il12b,Il5ra,Tnfsf14,Tnfrsf13b,Il19,Il10,Cd40,Il3,Csf2,Dusp6,Il13,Fos,Syk,Tnfsf11,Sla,Cd4,Mx2,Rps6ka2,Eif2ak2,Tslp,Ltb,Tnf,Camk2a,Il33,Il6,Casp1,Il18rap,Il18r1,Il24,Tnfsf4,Il2ra,Ube2l6,Il1b,Il1a,Sla2,Ifi44,Tnfrsf1b,Tnfrsf8,Tnfrsf9,Usp18,Cd27,Il21r,Il4ra,Cd40lg,Il13ra2,Il2rg,Il10ra,Uba7,Fanca,S100b,Vav1,Isg15,Socs1,Csf3,Ifi44l,Pik3cd,Rigi,Oasl1,Lyn,Il27,Il1f10,Socs3,Ifng,Irs1,Osm,Ifnl2,Ifnl3,Tubb3,Stat4,Rnasel,Ifit1bl2,Tnfrsf13c,Il2rb,H3c1,H3c2,H3c3,Il18bp,Csf2rb,Csf2rb2,Nlrc5,H3c8,H3c10,H3c11"
"R-MMU-5173214","O-glycosylation of TSR domain-containing proteins","14/1104","33/8731",0.424242424242424,3.35512736056214,5.15675444375529,1.94848903230907e-05,0.00104874556738988,0.000957956836937089,"240913/229595/223838/224697/207596/330267/226866/210417/330119/239337/271127/20357/77739/269959",14,"Adamts4,Adamtsl4,Adamts20,Adamts10,Thsd4,Thsd7a,Sbspon,Thsd7b,Adamts3,Adamts12,Adamts16,Sema5b,Adamtsl1,Adamtsl3"
"R-MMU-1236977","Endosomal/Vacuolar pathway","11/1104","22/8731",0.5,3.95425724637681,5.27825405422046,2.34426578608388e-05,0.00119166844125931,0.00108850703751497,"14991/15015/15039/15018/12010/14972/15040/15007/110557/15006/15013",11,"H2-M3,H2-Q4,H2-T22,H2-Q7,B2m,H2-K1,H2-T23,H2-Q10,H2-Q6,H2-Q1,H2-Q2"
"R-MMU-983170","Antigen Presentation: Folding, assembly and peptide loading of class I MHC","15/1104","38/8731",0.394736842105263,3.12178203661327,4.98680644538321,2.78147402002899e-05,0.00133949933069817,0.00122354037224544,"14991/80898/21356/21355/15015/21354/15039/15018/12010/14972/15040/15007/110557/15006/15013",15,"H2-M3,Erap1,Tapbp,Tap2,H2-Q4,Tap1,H2-T22,H2-Q7,B2m,H2-K1,H2-T23,H2-Q10,H2-Q6,H2-Q1,H2-Q2"
"R-MMU-5578775","Ion homeostasis","18/1104","52/8731",0.346153846153846,2.7375627090301,4.78103695206864,3.68607969244862e-05,0.00168638145929524,0.00154039330305484,"108017/98660/27222/12372/76757/12322/18125/20928/20190/11937/320707/56188/57780/18821/232975/20192/110893/16514",18,"Fxyd4,Atp1a2,Atp1a4,Casq1,Trdn,Camk2a,Nos1,Abcc9,Ryr1,Atp2a1,Atp2b3,Fxyd1,Fxyd7,Pln,Atp1a3,Ryr3,Slc8a3,Kcnj11"
"R-MMU-2173782","Binding and Uptake of Ligands by Scavenger Receptors","14/1104","35/8731",0.4,3.16340579710145,4.87895745579098,4.32005771017473e-05,0.00181352069951258,0.00165652624148748,"75761/20288/17167/11699/15439/192188/71693/108956/328561/239552/223672/71898/626615/328563",14,"Apol7a,Msr1,Marco,Ambp,Hp,Stab2,Colec11,Apol7c,Apol10b,Apol8,Apol9a,Apol9b,Apol11a,Apol11b"
"R-MMU-2029481","FCGR activation","8/1104","13/8731",0.615384615384615,4.86677814938685,5.30795564325393,4.55857662172562e-05,0.00181352069951258,0.00165652624148748,"12502/15162/14129/20963/14130/14191/17096/246256",8,"Cd3g,Hck,Fcgr1,Syk,Fcgr2b,Fgr,Lyn,Fcgr4"
"R-MMU-389948","Co-inhibition by PD-1","8/1104","13/8731",0.615384615384615,4.86677814938685,5.30795564325393,4.55857662172562e-05,0.00181352069951258,0.00165652624148748,"16818/12502/60533/58205/12504/18566/12501/12500",8,"Lck,Cd3g,Cd274,Pdcd1lg2,Cd4,Pdcd1,Cd3e,Cd3d"
